BV,seq_len,ti_train,tf_train,ti_test,tf_test,NSE_train,MAE_train,NSE_val,MAE_val,NSE_test,MAE_test,training_finished,epoch,loss_fonction,training_time,nom
O0794010,30,1997-01-30,2004-10-12,2007-12-17,2012-12-31,0.8810097,0.15250047,0.71679693,0.26733923,0.7580741,0.23556536,True,191,MAE,110.82722902297974,Loic
O0794010,30,1997-01-30,2004-10-12,2007-12-17,2012-12-31,0.9461214,0.15738891,0.5515237,0.3307853,0.7273179,0.25024313,True,186,NSE,111.18975496292114,Loic
O7944020,7,1997-01-07,2004-12-29,2008-03-20,2012-12-31,0.6243911,0.4823176,-0.18916929,0.4747005,0.07917774,0.49215174,True,118,MAE,21.56839084625244,Loic
O7944020,7,1997-01-07,2004-12-29,2008-03-20,2012-12-31,0.69103897,0.52854353,-0.25536656,0.47268572,0.021636963,0.49695185,True,110,NSE,21.01439905166626,Loic
O7944020,15,1997-01-15,2005-01-02,2008-03-22,2012-12-31,0.74087554,0.32286897,0.19303,0.39213076,0.14923668,0.46500066,True,119,MAE,44.78048896789551,Loic
O7944020,15,1997-01-15,2005-01-02,2008-03-22,2012-12-31,0.7718076,0.3970636,0.19527733,0.38279098,-0.039280534,0.48847508,True,116,NSE,46.57662320137024,Loic
O7944020,30,1997-01-30,2005-01-09,2008-03-27,2012-12-31,0.7428256,0.24777693,0.5024551,0.28245294,0.5418766,0.3164431,True,135,MAE,84.29890537261963,Loic
O7944020,30,1997-01-30,2005-01-09,2008-03-27,2012-12-31,0.8087634,0.29758272,0.26149434,0.32148612,0.4076807,0.38350445,True,113,NSE,72.14071083068848,Loic
P3322510,7,1997-01-07,2004-12-25,2008-03-04,2012-12-31,0.7779698,1.0457743,0.7121655,1.1443713,0.67816234,1.2569419,True,146,MAE,35.33007574081421,Loic
P3322510,7,1997-01-07,2004-12-25,2008-03-04,2012-12-31,0.8366158,0.9906834,0.73936915,1.1816717,0.6490223,1.351772,True,255,NSE,47.340744495391846,Loic
P3322510,15,1997-01-15,2004-12-29,2008-03-07,2012-12-31,0.8439205,0.8291112,0.831126,0.8123334,0.8354714,0.8781679,True,166,MAE,49.91290736198425,Loic
P3322510,15,1997-01-15,2004-12-29,2008-03-07,2012-12-31,0.9130736,0.6906515,0.73480654,1.0770154,0.7930176,1.0650356,True,156,NSE,46.039649963378906,Loic
P3322510,30,1997-01-30,2005-01-05,2008-03-11,2012-12-31,0.93161833,0.44246385,0.8128553,0.9068847,0.7877812,0.9736413,True,148,MAE,77.96960878372192,Loic
P3322510,30,1997-01-30,2005-01-05,2008-03-11,2012-12-31,0.9646788,0.40718856,0.85570204,0.7918247,0.8545829,0.8010655,True,221,NSE,119.08891582489014,Loic
Q0522520,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.8374927,0.40844956,0.54812634,0.54621553,0.6707598,0.56890666,True,265,MAE,50.20182037353516,Loic
Q0522520,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.84448594,0.45433253,0.52606267,0.5690555,0.64709127,0.59183276,True,192,NSE,37.58875560760498,Loic
Q0522520,15,1997-01-15,2005-01-07,2008-03-18,2012-12-31,0.8914978,0.25468028,0.61817545,0.48293102,0.7064819,0.4990003,True,256,MAE,77.49003195762634,Loic
Q0522520,15,1997-01-15,2005-01-07,2008-03-18,2012-12-31,0.92253,0.323018,0.6930489,0.46336475,0.7432995,0.48317736,True,231,NSE,69.56701111793518,Loic
Q0522520,30,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.94221836,0.14489667,0.7520709,0.38697702,0.7442448,0.44677246,True,335,MAE,190.59442329406733,Loic
Q0522520,30,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.9502317,0.24303384,0.7115587,0.41489112,0.7512913,0.4361812,True,267,NSE,163.6664173603058,Loic
S4214010,7,1997-01-07,2005-01-11,2008-03-22,2012-12-31,0.35119277,0.2675296,-0.5904759,0.16617036,0.19075996,0.23370057,True,127,MAE,33.71916198730469,Loic
S4214010,7,1997-01-07,2005-01-11,2008-03-22,2012-12-31,0.47003448,0.2804289,-3.6498485,0.29196873,-0.015370607,0.26567975,True,120,NSE,31.60876965522766,Loic
S4214010,15,1997-01-15,2005-01-15,2008-03-25,2012-12-31,0.5735102,0.21809904,-1.907902,0.18557964,0.1108613,0.23106442,True,100,MAE,31.30290269851685,Loic
